file: '../data/N21_t1E8yr_dt1E3yr_10RHM_1.5MMSN_Miso_ecc1E-2_inc5E-3_rand1/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/N21_t1E8yr_dt1E3yr_10RHM_1.5MMSN_Miso_ecc1E-2_inc5E-3_rand1/
N_tr	0
N_p	21
RAND_SEED	1
STEP_INTERVAL	5.0E7
BREAK_TIME	432000.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	1
INTERACTION_PLANET_TRACER	0
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	1
RELOCATE_PARTICLE	0
EJECTION	0
ORBITING_SMALL_PARTICLE	0
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	PLANET_MASS
PLANET_AXIS	PLANET_AXIS
PLANET_ECC	0.01
PLANET_INC	0.005
PLANET_DENSITY	3.0
T_MAX	(2.0*3.14159265358979323846264338327950288*1.0E8)
DT_LOG	0
DT_ENE	(2.0*3.14159265358979323846264338327950288*1.0E3)
-----
axis01 = 4.000000e-01[AU],	mass01 = 2.681088e-07[M_Sun]
axis02 = 4.233567e-01[AU],	mass02 = 2.797667e-07[M_Sun]
axis03 = 4.484436e-01[AU],	mass03 = 2.921104e-07[M_Sun]
axis04 = 4.754169e-01[AU],	mass04 = 3.051913e-07[M_Sun]
axis05 = 5.044494e-01[AU],	mass05 = 3.190651e-07[M_Sun]
axis06 = 5.357327e-01[AU],	mass06 = 3.337930e-07[M_Sun]
axis07 = 5.694794e-01[AU],	mass07 = 3.494416e-07[M_Sun]
axis08 = 6.059262e-01[AU],	mass08 = 3.660842e-07[M_Sun]
axis09 = 6.453365e-01[AU],	mass09 = 3.838007e-07[M_Sun]
axis10 = 6.880042e-01[AU],	mass10 = 4.026795e-07[M_Sun]
axis11 = 7.342581e-01[AU],	mass11 = 4.228172e-07[M_Sun]
axis12 = 7.844659e-01[AU],	mass12 = 4.443208e-07[M_Sun]
axis13 = 8.390403e-01[AU],	mass13 = 4.673081e-07[M_Sun]
axis14 = 8.984454e-01[AU],	mass14 = 4.919092e-07[M_Sun]
axis15 = 9.632033e-01[AU],	mass15 = 5.182683e-07[M_Sun]
axis16 = 1.033904e+00[AU],	mass16 = 5.465454e-07[M_Sun]
axis17 = 1.111213e+00[AU],	mass17 = 5.769182e-07[M_Sun]
axis18 = 1.195888e+00[AU],	mass18 = 6.095846e-07[M_Sun]
axis19 = 1.288786e+00[AU],	mass19 = 6.447653e-07[M_Sun]
axis20 = 1.390884e+00[AU],	mass20 = 6.827070e-07[M_Sun]
axis21 = 1.503299e+00[AU],	mass21 = 7.236861e-07[M_Sun]
mass_tot = 9.428872e-06[M_Sun] = 3.142957e+00[M_Earth]
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	 21	     0	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
5.000000e+07	 21	     0	    16	1.668171532299955e-03	2.000000000000000e+03	7.115707190225157e+01
1.000000e+08	 21	     0	     2	4.307032604918845e-04	4.000000000000000e+03	1.423702607583383e+02
1.500000e+08	 21	     0	     3	4.716121981939400e-04	6.000000000000000e+03	2.134625334346741e+02
2.000000e+08	 21	     0	     2	4.391414074137628e-04	7.999999999999999e+03	2.844931569573168e+02
2.500000e+08	 21	     0	    17	1.988560800981437e-03	9.999999999999998e+03	3.554375232931413e+02
3.000000e+08	 21	     0	     3	4.825897282074205e-04	1.200000000000000e+04	4.262537962074553e+02
3.500000e+08	 21	     0	     4	4.800498654307733e-04	1.400000000000000e+04	4.970538189862489e+02
4.000000e+08	 21	     0	    11	9.840172087694828e-04	1.600000000000000e+04	5.677310802161156e+02
4.500000e+08	 21	     0	    21	2.871258583782199e-03	1.800000000000001e+04	6.383043822331665e+02
5.000000e+08	 21	     0	     2	4.323698123545912e-04	2.000000000000001e+04	7.087699555233779e+02
5.500000e+08	 21	     0	     1	4.162174990974832e-04	2.200000000000001e+04	7.789354591729676e+02
6.000000e+08	 21	     0	     1	3.940144898364793e-04	2.400000000000000e+04	8.494099276969737e+02
6.500000e+08	 21	     0	     5	5.280632405627818e-04	2.600000000000000e+04	9.201434673718819e+02
7.000000e+08	 21	     0	     8	7.541335348474060e-04	2.800000000000000e+04	9.910791860990126e+02
7.500000e+08	 21	     0	    11	1.015627214252954e-03	3.100000000000000e+04	6.192214470629611e+01
8.000000e+08	 21	     0	    20	2.732296721700514e-03	3.299999999999999e+04	1.326580450146596e+02
8.500000e+08	 21	     0	    11	9.736483843612581e-04	3.499999999999999e+04	2.033237109415022e+02
9.000000e+08	 21	     0	    16	1.556287888102902e-03	3.699999999999999e+04	2.738899358618854e+02
9.500000e+08	 21	     0	     4	4.816530291187296e-04	3.899999999999999e+04	3.442290314346574e+02
1.000000e+09	 21	     0	     6	6.763803977393015e-04	4.099999999999998e+04	4.143723052797915e+02
1.050000e+09	 21	     0	    18	2.223211980540499e-03	4.299999999999998e+04	4.843150109277286e+02
1.100000e+09	 21	     0	    15	1.552552260564601e-03	4.499999999999998e+04	5.538569150787107e+02
1.150000e+09	 21	     0	     6	6.355470312365631e-04	4.699999999999997e+04	6.231291897338227e+02
1.200000e+09	 21	     0	     5	5.153224139168446e-04	4.899999999999997e+04	6.923362722363032e+02
1.250000e+09	 21	     0	     5	5.376192709907652e-04	5.099999999999997e+04	7.618303586361991e+02
1.300000e+09	 21	     0	    11	9.560995334844495e-04	5.299999999999996e+04	8.320892339475295e+02
1.350000e+09	 21	     0	     1	4.129947062581837e-04	5.499999999999996e+04	9.016678441105111e+02
1.400000e+09	 21	     0	     4	4.892126266624722e-04	5.699999999999996e+04	9.706026222888469e+02
1.450000e+09	 21	     0	     1	4.136111256112770e-04	5.999999999999996e+04	3.947639152434867e+01
