myid = 2	numprocs = 40
OMP_NUM_THREADS: 1
threads: 1
. 
file: '../data/Ntr1E2_t1E8_dtlog_Mtot3E-7_Mmax5E-15_ecc5E-2_nofrag_acc/rand03/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr1E2_t1E8_dtlog_Mtot3E-7_Mmax5E-15_ecc5E-2_nofrag_acc/
N_tr	100
N_p	1
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E7
BREAK_TIME	14100.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	1
RELOCATE_PARTICLE	0
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	1
ETA	3.0E-2
ITE_MAX	2
SOLAR_RADIUS	0.00465040106951872
SOLAR_SYSTEM_LIMIT	100.0
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*5.0)
PLANET_INC	((0.01*5.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-7*1)
ECC_RMS	(0.01*5.0)
INC_RMS	((0.01*5.0)*0.5)
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E8)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	pow(10.0,1.0/8.0)
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  1	   100	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+07	  1	   100	    37	3.434405398246063e-03	4.216965034285815e+02	4.504611698278912e+01
2.000000e+07	  1	   100	    22	5.028769860098935e-03	7.498942093324545e+02	1.798882470253716e+02
3.000000e+07	  1	   100	    49	4.688828243680849e-03	1.333521432163321e+03	5.751195087026578e+01
4.000000e+07	  1	   100	    64	4.513629804280508e-03	1.778279410038919e+03	7.245836449774002e+01
5.000000e+07	  1	   100	     3	4.742749864885872e-03	1.778279410038919e+03	5.319735672691825e+02
6.000000e+07	  1	   100	    23	4.082792819437188e-03	2.371373705661650e+03	3.966776925292619e+02
7.000000e+07	  1	   100	    85	3.071452622874730e-03	3.162277660168373e+03	6.230475883362985e+01
8.000000e+07	  1	   100	    68	4.684092766630987e-03	3.162277660168373e+03	5.183247321237874e+02
9.000000e+07	  1	   100	    74	4.418621320932340e-03	3.162277660168373e+03	9.759333009791098e+02
1.000000e+08	  1	   100	    61	4.411492525324477e-03	4.216965034285813e+03	3.764480960895306e+02
1.100000e+08	  1	   100	    17	3.345682837641553e-03	4.216965034285813e+03	8.313067037323959e+02
1.200000e+08	  1	   100	     5	6.126134281627377e-03	4.216965034285813e+03	1.288172511580707e+03
1.300000e+08	  1	   100	     9	7.247336001538290e-03	5.623413251903478e+03	3.379291331417330e+02
1.400000e+08	  1	   100	     2	4.511627386710209e-03	5.623413251903478e+03	7.946952454911701e+02
1.500000e+08	  1	   100	    95	6.658163121483724e-03	5.623413251903478e+03	1.252279243308212e+03
1.600000e+08	  1	   100	    25	6.189954830052778e-03	5.623413251903478e+03	1.709487605364688e+03
collision No.1	7.514580e+03[yr]	i=1, j=100	r_ij=5.691481804776528e-05	radius[1]+radius[100]=5.736449168214772e-05
dE_heat=-1.603022e-10	dE_grav=1.581311e-10	dE_c=-2.642172e-19	v_imp=3.270703e-01
1.700000e+08	  1	    99	    78	3.776549403721977e-03	7.498942093324542e+03	2.915430498501925e+02
1.800000e+08	  1	    99	    24	6.887670554252445e-03	7.498942093324542e+03	7.517668116162337e+02
1.900000e+08	  1	    99	    14	3.528764202936083e-03	7.498942093324542e+03	1.212274053741624e+03
2.000000e+08	  1	    99	    14	5.467911838943319e-03	7.498942093324542e+03	1.671036076558130e+03
2.100000e+08	  1	    99	    83	4.549170734293986e-03	7.498942093324542e+03	2.130237444788058e+03
2.200000e+08	  1	    99	    45	3.372523664569067e-03	9.999999999999978e+03	8.678736998479937e+01
2.300000e+08	  1	    99	    34	4.310756665592970e-03	9.999999999999978e+03	5.436487200377412e+02
2.400000e+08	  1	    99	    40	5.026196860288469e-03	9.999999999999978e+03	1.001190682971165e+03
2.500000e+08	  1	    99	    65	3.586660720895923e-03	9.999999999999978e+03	1.459034443766221e+03
2.600000e+08	  1	    99	    36	6.034199339379698e-03	9.999999999999978e+03	1.916361792479412e+03
