myid = 21	numprocs = 40
OMP_NUM_THREADS: 1
threads: 1
. 
file: '../data/Ntr1E3_t1E4_dtlog_Mtot3E-5_ecc3E-2_frag_acc/rand22/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr1E3_t1E4_dtlog_Mtot3E-5_ecc3E-2_frag_acc/
N_tr	1000
N_p	1
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E6
BREAK_TIME	14200.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	1
RELOCATE_PARTICLE	0
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*3.0)
PLANET_INC	((0.01*3.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*1)
ECC_RMS	(0.01*3.0)
INC_RMS	((0.01*3.0)*0.5)
DELTA_HILL	10.0
DELTA_R	0.010
DELTA_THETA	0.25*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	0
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-15
T_MAX	(2.0*3.14159265358979323846*1.0E4)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
alpha=1.67944	s_1=3.71665	s_2=12.6018	s_3=2.85931	h_0=3.58995e-05	Q_D=1.32959e-05
initial mass depletion timescale =2.936972e+01 [yr] (center)
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  1	  1000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  1	  1000	   871	1.648422504503574e-03	1.333521432163323e+00	2.441037974857973e-01
2.000000e+06	  1	  1000	   625	1.626474680172528e-03	2.371373705661654e+00	7.905878980324426e-01
3.000000e+06	  1	  1000	   919	1.797125914591281e-03	4.216965034285820e+00	5.297838882070465e-01
4.000000e+06	  1	  1000	   164	1.543284853749044e-03	5.623413251903486e+00	7.034594252044042e-01
5.000000e+06	  1	  1000	   447	1.303665706166164e-03	7.498942093324552e+00	4.139688798195185e-01
6.000000e+06	  1	  1000	     6	1.632750166439867e-03	7.498942093324552e+00	1.990573857761627e+00
7.000000e+06	  1	  1000	   816	1.537952440890398e-03	9.999999999999991e+00	1.073029946428905e+00
8.000000e+06	  1	  1000	   985	1.351341565823155e-03	9.999999999999991e+00	2.652874884725516e+00
9.000000e+06	  1	  1000	   486	1.558711735342614e-03	1.333521432163323e+01	8.830491771486076e-01
1.000000e+07	  1	  1000	   857	1.464794480507372e-03	1.333521432163323e+01	2.470311104069649e+00
1.100000e+07	  1	  1000	   903	1.569605545078030e-03	1.333521432163323e+01	4.049683209360441e+00
1.200000e+07	  1	  1000	   299	1.739297542300653e-03	1.778279410038921e+01	1.182364458664571e+00
1.300000e+07	  1	  1000	   919	1.591609268166063e-03	1.778279410038921e+01	2.766169481552260e+00
1.400000e+07	  1	  1000	   559	1.397698680496827e-03	1.778279410038921e+01	4.351255454174197e+00
1.500000e+07	  1	  1000	   736	1.463830156035117e-03	2.371373705661653e+01	3.809361218539048e-03
1.600000e+07	  1	  1000	   284	1.738115311536930e-03	2.371373705661653e+01	1.588210472596430e+00
1.700000e+07	  1	  1000	   565	1.459889148593119e-03	2.371373705661653e+01	3.170421008496550e+00
1.800000e+07	  1	  1000	    23	1.569841975938717e-03	2.371373705661653e+01	4.755355331624981e+00
1.900000e+07	  1	  1000	    10	1.647048945301783e-03	2.371373705661653e+01	6.337372918042229e+00
2.000000e+07	  1	  1000	   886	1.700512482711923e-03	3.162277660168376e+01	8.070184929722311e-03
2.100000e+07	  1	  1000	   549	1.541599951275165e-03	3.162277660168376e+01	1.591528034010719e+00
2.200000e+07	  1	  1000	   832	1.768218229282602e-03	3.162277660168376e+01	3.174465313311967e+00
2.300000e+07	  1	  1000	   687	1.638053932831657e-03	3.162277660168376e+01	4.753915016788727e+00
2.400000e+07	  1	  1000	   940	1.458851823385677e-03	3.162277660168376e+01	6.329525984382602e+00
2.500000e+07	  1	  1000	   181	1.747290168801085e-03	3.162277660168376e+01	7.908329962872719e+00
2.600000e+07	  1	  1000	    84	6.420109901077762e-04	3.162277660168376e+01	9.494288982411865e+00
2.700000e+07	  1	  1000	   587	1.953703041051109e-03	4.216965034285818e+01	5.228262910047197e-01
2.800000e+07	  1	  1000	   118	1.661422934898048e-03	4.216965034285818e+01	2.105381002249298e+00
2.900000e+07	  1	  1000	   459	1.446123400803084e-03	4.216965034285818e+01	3.688757837147149e+00
