myid = 5	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc3E-2_frag_noacc/rand06/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc3E-2_frag_noacc/
N_tr	3000
N_p	3
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*3.0)
PLANET_INC	((0.01*3.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*3.0)
INC_RMS	((0.01*3.0)*0.5)
DELTA_HILL	10.0
DELTA_R	0.010
DELTA_THETA	0.25*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	0
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-18
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
alpha=1.67944	s_1=3.71665	s_2=12.6018	s_3=2.85931	h_0=3.58995e-05	Q_D=5.81724e-07
initial mass depletion timescale =3.052101e-01 [yr] (center)
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  3	  3000	  2373	1.832328934907541e-03	4.216965034285821e-01	7.706680868735388e-02
2.000000e+06	  3	  3000	   735	1.419437476965994e-03	9.999999999999994e-01	2.419232618769685e-02
3.000000e+06	  3	  3000	  1738	1.436020933598899e-03	1.333521432163323e+00	2.191452533197490e-01
4.000000e+06	  3	  3000	  1051	1.570873734815695e-03	1.778279410038922e+00	3.008624308474483e-01
5.000000e+06	  3	  3000	  1338	1.640805704864673e-03	2.371373705661654e+00	2.360218455218006e-01
6.000000e+06	  3	  3000	   452	1.646767931606610e-03	2.371373705661654e+00	7.645617114711050e-01
7.000000e+06	  3	  3000	  2408	1.249776810644922e-03	3.162277660168377e+00	5.029130769554258e-01
8.000000e+06	  3	  3000	  1656	1.683948551644656e-03	3.162277660168377e+00	1.030992670062583e+00
9.000000e+06	  3	  3000	   766	1.447851316535887e-03	4.216965034285820e+00	5.037620068475069e-01
1.000000e+07	  3	  3000	  1377	1.736451880019639e-03	4.216965034285820e+00	1.028175684487587e+00
1.100000e+07	  3	  3000	  2682	1.657012142903603e-03	5.623413251903486e+00	1.473747643734975e-01
1.200000e+07	  3	  3000	  2178	1.481643018551324e-03	5.623413251903486e+00	6.729589445226963e-01
1.300000e+07	  3	  3000	  2090	1.297961349098411e-03	5.623413251903486e+00	1.198881734940845e+00
1.400000e+07	  3	  3000	  2421	1.301942330121221e-03	5.623413251903486e+00	1.726187393534545e+00
1.500000e+07	  3	  3000	  2128	1.898285022145306e-03	7.498942093324552e+00	3.772681024052386e-01
1.600000e+07	  3	  3000	  1211	2.122593913254852e-03	7.498942093324552e+00	9.053590340923050e-01
1.700000e+07	  3	  3000	   761	1.437592980861273e-03	7.498942093324552e+00	1.432600238488070e+00
1.800000e+07	  3	  3000	    75	1.773136138912134e-03	7.498942093324552e+00	1.960506772378888e+00
1.900000e+07	  3	  3000	  2610	1.537923783254010e-03	7.498942093324552e+00	2.488685743486084e+00
