myid = 11	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc1E-2_nofrag_acc/rand12/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc1E-2_nofrag_acc/
N_tr	3000
N_p	3
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E5
BREAK_TIME	14200.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	1
RELOCATE_PARTICLE	0
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*1.0)
PLANET_INC	((0.01*1.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*1.0)
INC_RMS	((0.01*1.0)*0.5)
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+05	  3	  3000	   638	1.928061950530600e-03	0.000000000000000e+00	5.390546738702844e-02
2.000000e+05	  3	  3000	  1499	1.936183522987443e-03	1.000000000000000e-01	6.204415652424590e-03
3.000000e+05	  3	  3000	  1846	1.953004629978508e-03	1.333521432163324e-01	2.510799876316600e-02
4.000000e+05	  3	  3000	   731	1.248398582663660e-03	1.778279410038923e-01	3.279237076843279e-02
5.000000e+05	  3	  3000	  1346	1.646343841043930e-03	2.371373705661655e-01	2.496559077378613e-02
6.000000e+05	  3	  3000	  1410	1.488101128208966e-03	2.371373705661655e-01	7.798656944264275e-02
7.000000e+05	  3	  3000	   353	1.437337894976865e-03	3.162277660168378e-01	5.058026862706617e-02
8.000000e+05	  3	  3000	  2963	1.332947867732579e-03	3.162277660168378e-01	1.037260904887752e-01
9.000000e+05	  3	  3000	  1061	1.760186761436603e-03	4.216965034285821e-01	4.992936814714865e-02
1.000000e+06	  3	  3000	   509	1.326371211710510e-03	4.216965034285821e-01	1.021367949612783e-01
1.100000e+06	  3	  3000	  1745	1.481751928461382e-03	5.623413251903489e-01	1.083738513137327e-02
1.200000e+06	  3	  3000	   601	1.242629134921710e-03	5.623413251903489e-01	6.325301733325844e-02
1.300000e+06	  3	  3000	  1587	1.795492326381276e-03	5.623413251903489e-01	1.162934775234129e-01
1.400000e+06	  3	  3000	  2970	1.310969865100335e-03	5.623413251903489e-01	1.686334108235909e-01
1.500000e+06	  3	  3000	  1530	1.558771701619357e-03	7.498942093324554e-01	3.332357977856185e-02
1.600000e+06	  3	  3000	  1225	1.526631473405911e-03	7.498942093324554e-01	8.538788770277139e-02
1.700000e+06	  3	  3000	  2457	1.742489971341202e-03	7.498942093324554e-01	1.373077160219607e-01
1.800000e+06	  3	  3000	   605	1.127056682146321e-03	7.498942093324554e-01	1.901272053007353e-01
1.900000e+06	  3	  3000	   511	1.482084083111538e-03	7.498942093324554e-01	2.417159948278881e-01
2.000000e+06	  3	  3000	  1947	1.680494517270085e-03	9.999999999999994e-01	4.262665415182456e-02
2.100000e+06	  3	  3000	  1658	1.761336162131344e-03	9.999999999999994e-01	9.550225384068856e-02
2.200000e+06	  3	  3000	  1652	1.247324792007536e-03	9.999999999999994e-01	1.473315058284367e-01
2.300000e+06	  3	  3000	   514	1.510534858363681e-03	9.999999999999994e-01	2.003968317638320e-01
2.400000e+06	  3	  3000	  1015	1.738671050736640e-03	9.999999999999994e-01	2.507487146559140e-01
2.500000e+06	  3	  3000	  1451	1.801769253839127e-03	9.999999999999994e-01	3.038258472523667e-01
2.600000e+06	  3	  3000	  1627	1.501641348355994e-03	1.333521432163323e+00	2.044732631280793e-02
2.700000e+06	  3	  3000	   903	1.249935466150888e-03	1.333521432163323e+00	7.209802524450368e-02
2.800000e+06	  3	  3000	   845	1.607096656921827e-03	1.333521432163323e+00	1.234656713849704e-01
2.900000e+06	  3	  3000	   887	1.303126678505408e-03	1.333521432163323e+00	1.753588959163862e-01
3.000000e+06	  3	  3000	  2445	1.693665479421360e-03	1.333521432163323e+00	2.264292681406828e-01
3.100000e+06	  3	  3000	  1473	1.592678004041456e-03	1.333521432163323e+00	2.782923796784021e-01
3.200000e+06	  3	  3000	  2933	1.834993888051349e-03	1.333521432163323e+00	3.302347880486564e-01
3.300000e+06	  3	  3000	  1644	1.900140549242244e-03	1.333521432163323e+00	3.822113491597118e-01
3.400000e+06	  3	  3000	  2089	1.589320727297565e-03	1.333521432163323e+00	4.343232006358966e-01
3.500000e+06	  3	  3000	  1102	1.315643244114931e-03	1.778279410038922e+00	4.126753538061508e-02
3.600000e+06	  3	  3000	  1102	1.311496941740404e-03	1.778279410038922e+00	9.255784240140846e-02
3.700000e+06	  3	  3000	   705	2.069839082706937e-03	1.778279410038922e+00	1.447643857636077e-01
3.800000e+06	  3	  3000	  2734	1.381148960217924e-03	1.778279410038922e+00	1.973259206847691e-01
3.900000e+06	  3	  3000	  1399	1.845566685713365e-03	1.778279410038922e+00	2.501585460485859e-01
4.000000e+06	  3	  3000	  1115	1.549402174206914e-03	1.778279410038922e+00	3.020765256797658e-01
4.100000e+06	  3	  3000	   599	1.361483296708869e-03	1.778279410038922e+00	3.543011685152497e-01
4.200000e+06	  3	  3000	  2799	2.653712726070441e-05	1.778279410038922e+00	4.066377939813478e-01
4.300000e+06	  3	  3000	   260	1.384116751323574e-03	1.778279410038922e+00	4.577731362697790e-01
4.400000e+06	  3	  3000	  1316	1.976932793365298e-03	1.778279410038922e+00	5.097474052662024e-01
4.500000e+06	  3	  3000	    24	1.427148615993994e-03	1.778279410038922e+00	5.621040600968491e-01
4.600000e+06	  3	  3000	    86	1.826242740288182e-03	2.371373705661654e+00	2.034343447790032e-02
4.700000e+06	  3	  3000	  1314	1.375051970097023e-03	2.371373705661654e+00	7.315059442548061e-02
4.800000e+06	  3	  3000	    54	1.398482764798189e-03	2.371373705661654e+00	1.259242240123375e-01
4.900000e+06	  3	  3000	   297	1.257850428367167e-03	2.371373705661654e+00	1.779884698362525e-01
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
5.000000e+06	  3	  3000	  1775	1.472280577702694e-03	2.371373705661654e+00	2.304509571809500e-01
collision No.1	2.627716e+00[yr]	i=2, j=441	r_ij=6.328995174919494e-05	radius[2]+radius[441]=6.338481524341289e-05
dE_heat=-1.418414e-09	dE_grav=1.422027e-09	dE_c=9.481059e-17	v_imp=3.090414e-01
5.100000e+06	  3	  2999	   346	1.358675765440455e-03	2.371373705661654e+00	2.807951885120987e-01
5.200000e+06	  3	  2999	  2118	1.662303917695056e-03	2.371373705661654e+00	3.334769775938126e-01
5.300000e+06	  3	  2999	   323	1.839880336652086e-03	2.371373705661654e+00	3.863192100917501e-01
5.400000e+06	  3	  2999	  2258	1.587782462361878e-03	2.371373705661654e+00	4.391579899309940e-01
5.500000e+06	  3	  2999	  1128	1.862633116110080e-03	2.371373705661654e+00	4.914178135062438e-01
5.600000e+06	  3	  2999	  2764	1.456638167817833e-03	2.371373705661654e+00	5.427044140972423e-01
5.700000e+06	  3	  2999	  2485	1.396829830461401e-03	2.371373705661654e+00	5.953909412984542e-01
5.800000e+06	  3	  2999	    48	1.908188456212347e-03	2.371373705661654e+00	6.482911347846104e-01
5.900000e+06	  3	  2999	  1684	1.903563251819336e-03	2.371373705661654e+00	7.009555424724587e-01
6.000000e+06	  3	  2999	  2723	1.553970938785932e-03	2.371373705661654e+00	7.523992566680655e-01
6.100000e+06	  3	  2999	  1205	2.032146143934665e-03	3.162277660168377e+00	1.309249691062504e-02
6.200000e+06	  3	  2999	  1721	1.326387351367562e-03	3.162277660168377e+00	6.605241186371348e-02
6.300000e+06	  3	  2999	  2316	1.462497969200238e-03	3.162277660168377e+00	1.186683178596520e-01
6.400000e+06	  3	  2999	  1564	1.879491191580561e-03	3.162277660168377e+00	1.716410694659193e-01
6.500000e+06	  3	  2999	  1609	1.557101101129055e-03	3.162277660168377e+00	2.246974439631592e-01
6.600000e+06	  3	  2999	  2494	1.838295289324393e-03	3.162277660168377e+00	2.777128735364405e-01
6.700000e+06	  3	  2999	   953	1.816911380665212e-03	3.162277660168377e+00	3.304628492673667e-01
6.800000e+06	  3	  2999	   296	1.499776895133482e-03	3.162277660168377e+00	3.831882250441416e-01
6.900000e+06	  3	  2999	  2202	1.576651941589855e-03	3.162277660168377e+00	4.360514123436213e-01
7.000000e+06	  3	  2999	   551	1.433088730928033e-03	3.162277660168377e+00	4.890896466932886e-01
7.100000e+06	  3	  2999	  2729	1.203284102725488e-03	3.162277660168377e+00	5.421631068289193e-01
7.200000e+06	  3	  2999	  1281	1.936167835091989e-03	3.162277660168377e+00	5.948138151496002e-01
7.300000e+06	  3	  2999	  2520	1.455140050017861e-03	3.162277660168377e+00	6.478726601469945e-01
7.400000e+06	  3	  2999	  2539	1.482009748406267e-03	3.162277660168377e+00	6.993011991119289e-01
7.500000e+06	  3	  2999	  2525	1.796893417839435e-03	3.162277660168377e+00	7.521148735615111e-01
7.600000e+06	  3	  2999	  1319	1.820953725593182e-03	3.162277660168377e+00	8.051290100936660e-01
7.700000e+06	  3	  2999	  1483	1.747446218663925e-03	3.162277660168377e+00	8.561737554242448e-01
7.800000e+06	  3	  2999	   883	1.739132725788059e-03	3.162277660168377e+00	9.088158304819085e-01
7.900000e+06	  3	  2999	   765	1.496839359786779e-03	3.162277660168377e+00	9.613570298552230e-01
8.000000e+06	  3	  2999	  1133	1.497885317916615e-03	3.162277660168377e+00	1.014348844721972e+00
8.100000e+06	  3	  2999	  2326	1.385810195782316e-03	4.216965034285820e+00	1.182697632594302e-02
8.200000e+06	  3	  2999	  2824	1.821587173477885e-03	4.216965034285820e+00	6.441555407597206e-02
8.300000e+06	  3	  2999	  2481	1.349182698549586e-03	4.216965034285820e+00	1.173359761808304e-01
8.400000e+06	  3	  2999	   120	1.276266921343687e-03	4.216965034285820e+00	1.690978823859598e-01
8.500000e+06	  3	  2999	  1264	1.361191400165726e-03	4.216965034285820e+00	2.222547921031849e-01
8.600000e+06	  3	  2999	  2759	1.546202813037898e-03	4.216965034285820e+00	2.753380206993510e-01
8.700000e+06	  3	  2999	  2295	1.887636812401142e-03	4.216965034285820e+00	3.282326551627925e-01
8.800000e+06	  3	  2999	  1779	1.830819564492017e-03	4.216965034285820e+00	3.813560000670258e-01
8.900000e+06	  3	  2999	   265	1.790848831350983e-03	4.216965034285820e+00	4.339015090574363e-01
9.000000e+06	  3	  2999	  1480	1.861654742809327e-03	4.216965034285820e+00	4.870364479856560e-01
9.100000e+06	  3	  2999	  2041	1.794274082359066e-03	4.216965034285820e+00	5.402143094216763e-01
9.200000e+06	  3	  2999	  1272	1.791076269024912e-03	4.216965034285820e+00	5.927444389120710e-01
9.300000e+06	  3	  2999	  1781	1.470265590592217e-03	4.216965034285820e+00	6.458061817891917e-01
9.400000e+06	  3	  2999	   261	1.225855780849223e-03	4.216965034285820e+00	6.990356692696562e-01
