myid = 7	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc5E-2_nofrag_acc/rand08/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc5E-2_nofrag_acc/
N_tr	3000
N_p	3
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	1
RELOCATE_PARTICLE	0
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*5.0)
PLANET_INC	((0.01*5.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*5.0)
INC_RMS	((0.01*5.0)*0.5)
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  3	  3000	   495	1.203260701327508e-03	4.216965034285821e-01	9.763449066223216e-02
2.000000e+06	  3	  3000	    80	2.106594056913282e-03	9.999999999999994e-01	4.253866262904452e-02
3.000000e+06	  3	  3000	   455	1.678948286959400e-03	1.333521432163323e+00	2.315992297517686e-01
4.000000e+06	  3	  3000	  2038	1.829653665494871e-03	1.778279410038922e+00	3.114836317556851e-01
5.000000e+06	  3	  3000	  2073	2.094479229123255e-03	2.371373705661654e+00	2.408356257489236e-01
6.000000e+06	  3	  3000	  2709	1.649424816317902e-03	2.371373705661654e+00	7.660956255005875e-01
7.000000e+06	  3	  3000	  2124	1.459117424179923e-03	3.162277660168377e+00	4.987951534498274e-01
8.000000e+06	  3	  3000	  2864	1.941990858916430e-03	3.162277660168377e+00	1.021628033919614e+00
9.000000e+06	  3	  3000	  2156	1.399999280810174e-03	4.216965034285820e+00	4.901091299542923e-01
1.000000e+07	  3	  3000	   437	1.434385354099651e-03	4.216965034285820e+00	1.014847534899985e+00
1.100000e+07	  3	  3000	  2095	1.340834155110282e-03	5.623413251903486e+00	1.322233152534117e-01
1.200000e+07	  3	  3000	  2111	1.462708680453055e-03	5.623413251903486e+00	6.563971549159739e-01
1.300000e+07	  3	  3000	  2161	1.107423004611454e-03	5.623413251903486e+00	1.181072582670409e+00
1.400000e+07	  3	  3000	   245	1.619417620676751e-03	5.623413251903486e+00	1.704987357425245e+00
1.500000e+07	  3	  3000	  2754	1.433473563737114e-03	7.498942093324552e+00	3.543327856582821e-01
1.600000e+07	  3	  3000	  2436	1.297160709815259e-03	7.498942093324552e+00	8.782218019325542e-01
1.700000e+07	  3	  3000	  1963	1.865555492799513e-03	7.498942093324552e+00	1.404459293822469e+00
1.800000e+07	  3	  3000	  1798	1.839221300211496e-03	7.498942093324552e+00	1.927052139234290e+00
1.900000e+07	  3	  3000	  1639	1.197761858685162e-03	7.498942093324552e+00	2.452610050798481e+00
2.000000e+07	  3	  3000	  2447	2.235128144569351e-03	9.999999999999991e+00	4.701266267853684e-01
2.100000e+07	  3	  3000	  1146	1.793770123919778e-03	9.999999999999991e+00	9.959646640477839e-01
2.200000e+07	  3	  3000	   777	1.582169514816597e-03	9.999999999999991e+00	1.520431826541872e+00
2.300000e+07	  3	  3000	   663	1.376979306658642e-03	9.999999999999991e+00	2.043661469548611e+00
2.400000e+07	  3	  3000	   193	1.179573301432538e-03	9.999999999999991e+00	2.565953968628476e+00
2.500000e+07	  3	  3000	  1739	1.730420401571219e-03	9.999999999999991e+00	3.089236783252204e+00
2.600000e+07	  3	  3000	  2558	2.099905103164156e-03	1.333521432163323e+01	2.792936619279593e-01
2.700000e+07	  3	  3000	  1949	2.117456623616831e-03	1.333521432163323e+01	8.019548350959887e-01
2.800000e+07	  3	  3000	  1069	1.793915050297922e-03	1.333521432163323e+01	1.326680134944249e+00
2.900000e+07	  3	  3000	  2760	1.927828337687078e-03	1.333521432163323e+01	1.850666101808607e+00
3.000000e+07	  3	  3000	  1350	1.656984980650530e-03	1.333521432163323e+01	2.374529403399624e+00
3.100000e+07	  3	  3000	  1552	1.648019475705385e-03	1.333521432163323e+01	2.899475718781380e+00
