OMP_NUM_THREADS: 1
threads: 1
. 
file: '../data/Ntr1E3_t1E3yr_dt1yr_Mtot3E-5_ecc1E-1_inc5E-2_all_frag_rand1/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr1E3_t1E3yr_dt1yr_Mtot3E-5_ecc1E-1_inc5E-2_all_frag_rand1/
N_tr	1000
N_p	1
RAND_SEED	1
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	0
EXECUTION_TIME	1
INTERACTION_ALL	1
INTERACTION_PLANET_TRACER	0
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	0.1
PLANET_INC	0.05
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*1)
ECC_RMS	0.1
INC_RMS	0.05
DELTA_HILL	10.0
DELTA_R	0.010
DELTA_THETA	0.25*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	0
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-15
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	0
DT_ENE	(2.0*3.14159265358979323846*1.0E0)
-----
alpha=1.679440	s_1=3.716647	s_2=12.601774	s_3=2.859305
initial mass depletion timescale =	5.719661e+00 [yr]
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  1	  1000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  1	  1000	   945	1.396900289651721e-03	1.000000000000000e+00	3.883905906231749e-01
2.000000e+06	  1	  1000	   936	1.626894409268803e-03	2.000000000000000e+00	7.911094087063419e-01
3.000000e+06	  1	  1000	   184	1.418717022348607e-03	4.000000000000000e+00	1.734747112744924e-01
4.000000e+06	  1	  1000	   538	1.178189515993347e-03	5.000000000000000e+00	5.612510689295702e-01
5.000000e+06	  1	  1000	   503	2.480087011538273e-03	6.000000000000000e+00	9.792182960788061e-01
6.000000e+06	  1	  1000	   397	1.085045672812359e-03	8.000000000000000e+00	3.836228873402944e-01
7.000000e+06	  1	  1000	   992	2.344093476463410e-03	9.000000000000000e+00	7.931438321451840e-01
8.000000e+06	  1	  1000	   525	9.174294119661011e-04	1.100000000000000e+01	2.098130028039430e-01
9.000000e+06	  1	  1000	   783	1.657573385446393e-03	1.200000000000000e+01	6.297508098189742e-01
1.000000e+07	  1	  1000	   259	1.029714781737386e-03	1.400000000000000e+01	4.939862100013184e-02
1.100000e+07	  1	  1000	    93	1.463927454901815e-03	1.500000000000000e+01	4.653091974561449e-01
1.200000e+07	  1	  1000	   275	1.448744079074829e-03	1.600000000000000e+01	8.945844050962237e-01
1.300000e+07	  1	  1000	    19	2.495834398925278e-03	1.800000000000001e+01	3.152849185511268e-01
1.400000e+07	  1	  1000	   605	1.480872491425047e-03	1.900000000000001e+01	7.378572244055875e-01
1.500000e+07	  1	  1000	   170	1.409677595978359e-03	2.100000000000001e+01	1.583357124133894e-01
1.600000e+07	  1	  1000	   324	1.148036155707525e-03	2.200000000000001e+01	5.946150393309165e-01
1.700000e+07	  1	  1000	   708	1.158681246618764e-03	2.400000000000001e+01	1.699968399481882e-02
1.800000e+07	  1	  1000	    47	7.260137100925804e-04	2.500000000000001e+01	4.420584436286170e-01
1.900000e+07	  1	  1000	   661	1.360326454606600e-03	2.600000000000002e+01	8.711514924608744e-01
2.000000e+07	  1	  1000	   494	1.365178822029948e-03	2.800000000000002e+01	3.024646125994086e-01
2.100000e+07	  1	  1000	   366	1.409450850398067e-03	2.900000000000002e+01	7.236261001687133e-01
2.200000e+07	  1	  1000	   490	1.405736078235673e-03	3.100000000000002e+01	1.576264646516803e-01
2.300000e+07	  1	  1000	   832	1.629111130373836e-03	3.200000000000002e+01	5.890581438748262e-01
2.400000e+07	  1	  1000	   297	2.825119190267184e-03	3.400000000000003e+01	2.465193552651229e-02
2.500000e+07	  1	  1000	   696	1.154266650338708e-03	3.500000000000003e+01	4.594294188563012e-01
2.600000e+07	  1	  1000	   730	1.225612120321216e-03	3.600000000000003e+01	8.953355342225233e-01
2.700000e+07	  1	  1000	   933	1.910058244073318e-03	3.800000000000003e+01	3.302108192248541e-01
2.800000e+07	  1	  1000	   232	1.201752505767171e-03	3.900000000000003e+01	7.650669516496683e-01
2.900000e+07	  1	  1000	   475	2.699841918318604e-03	4.100000000000004e+01	2.011461250219444e-01
3.000000e+07	  1	  1000	   323	2.031599119475746e-04	4.200000000000003e+01	6.340009508047624e-01
3.100000e+07	  1	  1000	   537	1.738422038151511e-03	4.400000000000002e+01	6.840803275563888e-02
3.200000e+07	  1	  1000	   256	1.313632781679427e-03	4.500000000000002e+01	5.067285104336970e-01
3.300000e+07	  1	  1000	   431	2.357049023067661e-03	4.600000000000001e+01	9.490992007156809e-01
3.400000e+07	  1	  1000	   176	1.309738956302485e-03	4.800000000000001e+01	3.875517999267696e-01
3.500000e+07	  1	  1000	   815	5.146557641032488e-04	4.900000000000001e+01	8.307303806212479e-01
3.600000e+07	  1	  1000	   364	1.845726167835634e-03	5.100000000000000e+01	2.682641798903966e-01
3.700000e+07	  1	  1000	   656	2.022304691707578e-03	5.200000000000000e+01	7.176765345231546e-01
3.800000e+07	  1	  1000	    86	9.777574948604520e-04	5.399999999999999e+01	1.579550149778880e-01
3.900000e+07	  1	  1000	   349	2.267232109763285e-03	5.499999999999999e+01	6.029836409013893e-01
4.000000e+07	  1	  1000	    65	2.032114899567408e-03	5.699999999999998e+01	4.153252917404775e-02
4.100000e+07	  1	  1000	   846	1.360429500396631e-03	5.799999999999998e+01	4.855268041129669e-01
4.200000e+07	  1	  1000	   945	1.633163830046273e-03	5.899999999999997e+01	9.326162378128541e-01
4.300000e+07	  1	  1000	   616	1.456118713447463e-03	6.099999999999996e+01	3.793693019831395e-01
4.400000e+07	  1	  1000	   334	1.117462041544076e-03	6.199999999999996e+01	8.211789848556091e-01
4.500000e+07	  1	  1000	   522	1.917673955613566e-03	6.399999999999996e+01	2.743804363558361e-01
4.600000e+07	  1	  1000	   877	2.619171826483494e-03	6.499999999999996e+01	7.170297345829585e-01
