OMP_NUM_THREADS: 1
threads: 1
. 
file: '../data/Ntr1E3_t1E3yr_dt1yr_Mtot3E-5_ecc1E-2_inc5E-3_nofrag_rand3/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr1E3_t1E3yr_dt1yr_Mtot3E-5_ecc1E-2_inc5E-3_nofrag_rand3/
N_tr	1000
N_p	1
RAND_SEED	3
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	0
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	0.01
PLANET_INC	0.005
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*1)
ECC_RMS	0.01
INC_RMS	0.005
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	0
DT_ENE	(2.0*3.14159265358979323846*1.0E0)
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  1	  1000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
collision No.1	4.996591e-01[yr]	i=1, j=229	r_ij=6.331643358358015e-05	radius[1]+radius[229]=6.338481524341289e-05
1.000000e+06	  1	  1000	   660	1.381428764754564e-03	1.000000000000000e+00	5.743126962226835e-01
collision No.2	2.532385e+00[yr]	i=1, j=371	r_ij=6.323688668467469e-05	radius[1]+radius[371]=6.338481524341289e-05
2.000000e+06	  1	  1000	     9	1.504845089790421e-03	3.000000000000000e+00	1.558318363549641e-01
3.000000e+06	  1	  1000	   737	1.611920896714097e-03	4.000000000000000e+00	7.339726727021522e-01
4.000000e+06	  1	  1000	    22	1.566893473668043e-03	6.000000000000000e+00	3.120628733266465e-01
5.000000e+06	  1	  1000	   933	1.400140430905512e-03	7.000000000000000e+00	8.912402055768537e-01
collision No.3	8.441771e+00[yr]	i=1, j=943	r_ij=6.332684032943793e-05	radius[1]+radius[943]=6.338481524341289e-05
6.000000e+06	  1	  1000	   438	1.668583380811935e-03	9.000000000000000e+00	4.663823986149074e-01
7.000000e+06	  1	  1000	   363	1.507381659693535e-03	1.100000000000000e+01	4.693756074910171e-02
8.000000e+06	  1	  1000	   981	1.823509775343862e-03	1.200000000000000e+01	6.215841703117155e-01
9.000000e+06	  1	  1000	   455	1.430033263758785e-03	1.400000000000000e+01	1.931987403094026e-01
1.000000e+07	  1	  1000	    62	1.639902051001084e-03	1.500000000000000e+01	7.631727065463180e-01
1.100000e+07	  1	  1000	   307	1.656362776471079e-03	1.700000000000001e+01	3.398754152376641e-01
1.200000e+07	  1	  1000	   437	1.529000269704575e-03	1.800000000000001e+01	9.146565412075448e-01
1.300000e+07	  1	  1000	   741	1.613592242729533e-03	2.000000000000001e+01	5.006897352532408e-01
1.400000e+07	  1	  1000	   931	1.543379971155490e-03	2.200000000000001e+01	8.170305757627405e-02
1.500000e+07	  1	  1000	   362	1.692045856640641e-03	2.300000000000001e+01	6.587397823990548e-01
1.600000e+07	  1	  1000	    27	1.622546687842663e-03	2.500000000000001e+01	2.164952360836344e-01
