file: '../data/Ntr3E3_t1E3yr_dt1yr_Mtot3E-5_ecc1E-1_inc5E-2_frag_rand1/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3yr_dt1yr_Mtot3E-5_ecc1E-1_inc5E-2_frag_rand1/
N_tr	3000
N_p	3
RAND_SEED	1
STEP_INTERVAL	1.0E5
BREAK_TIME	432000.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	0
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	0.1
PLANET_INC	0.05
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	0.1
INC_RMS	0.05
DELTA_HILL	10.0
DELTA_R	0.010
DELTA_THETA	0.25*3.14159265358979323846264338327950288
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	0
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-15
T_MAX	(2.0*3.14159265358979323846264338327950288*1.0E3)
DT_LOG	0
DT_ENE	(2.0*3.14159265358979323846264338327950288*1.0E0)
-----
alpha=1.679440	s_1=3.716647	s_2=12.601774	s_3=2.859305
initial mass depletion timescale =	5.845499e+00 [yr]
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+05	  3	  3000	  1995	1.944920823523549e-03	0.000000000000000e+00	5.048377316770992e-02
2.000000e+05	  3	  3000	  2367	1.957330827537361e-03	0.000000000000000e+00	9.990732052033728e-02
3.000000e+05	  3	  3000	  2335	1.352331010890387e-03	0.000000000000000e+00	1.493764511816108e-01
4.000000e+05	  3	  3000	  2126	1.495658349370299e-03	0.000000000000000e+00	1.985811999988200e-01
5.000000e+05	  3	  3000	  1337	1.525414696919961e-03	0.000000000000000e+00	2.477578869637081e-01
6.000000e+05	  3	  3000	  2197	1.567412967538756e-03	0.000000000000000e+00	2.968734663960603e-01
7.000000e+05	  3	  3000	   922	2.707581008592690e-03	0.000000000000000e+00	3.455853549591838e-01
8.000000e+05	  3	  3000	   709	1.285909502204971e-03	0.000000000000000e+00	3.945972012017469e-01
9.000000e+05	  3	  3000	   574	9.879954243138722e-04	0.000000000000000e+00	4.441118844787600e-01
1.000000e+06	  3	  3000	  1471	1.293401531670290e-03	0.000000000000000e+00	4.941450111234013e-01
1.100000e+06	  3	  3000	   817	2.478555918294809e-03	0.000000000000000e+00	5.447508116379677e-01
1.200000e+06	  3	  3000	  2562	1.361784114150109e-03	0.000000000000000e+00	5.961856652203245e-01
1.300000e+06	  3	  3000	  1497	1.362365029176336e-03	0.000000000000000e+00	6.483024467522948e-01
1.400000e+06	  3	  3000	  1184	3.062850438231018e-03	0.000000000000000e+00	7.006329581791844e-01
1.500000e+06	  3	  3000	  1214	2.122006472662847e-03	0.000000000000000e+00	7.534438899255248e-01
1.600000e+06	  3	  3000	   319	1.627227718788546e-03	0.000000000000000e+00	8.061867591592922e-01
1.700000e+06	  3	  3000	   817	9.847665431222635e-04	0.000000000000000e+00	8.585426296536495e-01
1.800000e+06	  3	  3000	  2521	1.360382837671696e-03	0.000000000000000e+00	9.102246154298507e-01
1.900000e+06	  3	  3000	  1523	1.491695910275841e-03	0.000000000000000e+00	9.609916205838448e-01
2.000000e+06	  3	  3000	  2262	1.571312681010720e-03	1.000000000000000e+00	9.840553218114058e-03
2.100000e+06	  3	  3000	  1563	1.156676468333900e-03	1.000000000000000e+00	5.871500536717399e-02
2.200000e+06	  3	  3000	  2677	1.435070668695439e-03	1.000000000000000e+00	1.065776059978090e-01
