OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3yr_dt1yr_Mtot3E-5_ecc1E-2_inc5E-3_all_nofrag_rand1/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3yr_dt1yr_Mtot3E-5_ecc1E-2_inc5E-3_all_nofrag_rand1/
N_tr	3000
N_p	3
RAND_SEED	1
STEP_INTERVAL	1.0E6
BREAK_TIME	43000.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	0
EXECUTION_TIME	1
INTERACTION_ALL	1
INTERACTION_PLANET_TRACER	0
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	0.01
PLANET_INC	0.005
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	0.01
INC_RMS	0.005
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	0
DT_ENE	(2.0*3.14159265358979323846*1.0E0)
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  3	  3000	  2338	1.670224807197087e-03	0.000000000000000e+00	4.819474038009861e-01
2.000000e+06	  3	  3000	  2348	1.596028778205225e-03	0.000000000000000e+00	9.706970028445705e-01
3.000000e+06	  3	  3000	  1223	1.385587286054025e-03	1.000000000000000e+00	4.637894764662833e-01
4.000000e+06	  3	  3000	  2763	1.387769126835603e-03	1.000000000000000e+00	9.566728608689864e-01
5.000000e+06	  3	  3000	    41	1.524657677892140e-03	2.000000000000000e+00	4.554337672987714e-01
6.000000e+06	  3	  3000	   478	1.220634066985447e-03	2.000000000000000e+00	9.510091924864470e-01
7.000000e+06	  3	  3000	   161	1.250778962660479e-03	3.000000000000000e+00	4.337570714746570e-01
collision No.1	3.595527e+00[yr]	i=3, j=170	r_ij=6.327713997287132e-05	radius[3]+radius[170]=6.338481524341289e-05
8.000000e+06	  3	  3000	  1573	1.249166384603191e-03	3.000000000000000e+00	9.224915791914050e-01
9.000000e+06	  3	  3000	  2698	1.797501403811078e-03	4.000000000000000e+00	4.138373180664714e-01
1.000000e+07	  3	  3000	   191	1.920799796419149e-03	4.000000000000000e+00	9.057655021071908e-01
1.100000e+07	  3	  3000	   211	1.306361715661878e-03	5.000000000000000e+00	3.734975153527852e-01
1.200000e+07	  3	  3000	  2987	1.545116814368432e-03	5.000000000000000e+00	8.515702235827590e-01
1.300000e+07	  3	  3000	   264	1.993126259757126e-03	6.000000000000000e+00	3.219298036792432e-01
1.400000e+07	  3	  3000	  2963	2.070143582632693e-03	6.000000000000000e+00	8.013367576306053e-01
1.500000e+07	  3	  3000	  2926	1.893528359126176e-03	7.000000000000000e+00	2.665124561504659e-01
1.600000e+07	  3	  3000	  1924	1.359556746028789e-03	7.000000000000000e+00	7.157640970157054e-01
collision No.2	7.786985e+00[yr]	i=2, j=1100	r_ij=6.332440927737771e-05	radius[2]+radius[1100]=6.338481524341289e-05
1.700000e+07	  3	  3000	  2631	1.378291843441073e-03	8.000000000000000e+00	1.679639069813243e-01
1.800000e+07	  3	  3000	  2033	1.230990064759433e-03	8.000000000000000e+00	5.905694555936913e-01
1.900000e+07	  3	  3000	  1475	2.045070790800924e-03	9.000000000000000e+00	9.088649843741414e-03
2.000000e+07	  3	  3000	  2180	1.803723780129227e-03	9.000000000000000e+00	4.219941863364318e-01
collision No.3	9.731614e+00[yr]	i=2, j=1229	r_ij=6.336018678186496e-05	radius[2]+radius[1229]=6.338481524341289e-05
2.100000e+07	  3	  3000	   717	2.018573915177553e-03	9.000000000000000e+00	8.357468195370478e-01
2.200000e+07	  3	  3000	   831	1.507104695042558e-03	1.000000000000000e+01	2.560563863886714e-01
2.300000e+07	  3	  3000	  1135	1.403929124509927e-03	1.000000000000000e+01	6.742696631343590e-01
collision No.4	1.074519e+01[yr]	i=2, j=2286	r_ij=6.325465437001077e-05	radius[2]+radius[2286]=6.338481524341289e-05
2.400000e+07	  3	  3000	  2647	4.189859291693641e-05	1.100000000000000e+01	8.955960582673617e-02
2.500000e+07	  3	  3000	  2850	1.840790972171600e-03	1.100000000000000e+01	5.125717630802248e-01
collision No.5	1.157733e+01[yr]	i=1, j=325	r_ij=6.321548351933426e-05	radius[1]+radius[325]=6.338481524341289e-05
2.600000e+07	  3	  3000	   787	1.683160281547957e-03	1.100000000000000e+01	9.388706867818114e-01
2.700000e+07	  3	  3000	  2163	1.277227877727530e-03	1.200000000000000e+01	3.869459237065215e-01
2.800000e+07	  3	  3000	   160	2.260596598129353e-03	1.200000000000000e+01	8.325217239584604e-01
2.900000e+07	  3	  3000	  2964	1.305207279095731e-03	1.300000000000000e+01	2.593123419135000e-01
3.000000e+07	  3	  3000	  1504	1.617278470163069e-03	1.300000000000000e+01	6.634917265133371e-01
3.100000e+07	  3	  3000	   698	1.301776255646764e-03	1.400000000000000e+01	6.572676822942979e-02
3.200000e+07	  3	  3000	   866	2.133391912850704e-03	1.400000000000000e+01	4.744055211966500e-01
3.300000e+07	  3	  3000	  2465	1.422874609998457e-03	1.400000000000000e+01	8.762383642980260e-01
3.400000e+07	  3	  3000	  2627	5.834076907727211e-07	1.500000000000000e+01	2.814055282098355e-01
collision No.6	1.533402e+01[yr]	i=3, j=2510	r_ij=6.327856913296541e-05	radius[3]+radius[2510]=6.338481524341289e-05
collision No.7	1.563625e+01[yr]	i=1, j=357	r_ij=6.326668468261693e-05	radius[1]+radius[357]=6.338481524341289e-05
3.500000e+07	  3	  3000	  1791	1.483863503395002e-03	1.500000000000000e+01	6.945453885720995e-01
3.600000e+07	  3	  3000	   434	1.678948490813974e-03	1.600000000000000e+01	9.819880484597539e-02
3.700000e+07	  3	  3000	  1426	1.601598329017184e-07	1.600000000000000e+01	4.900183423882857e-01
3.800000e+07	  3	  3000	  1677	1.270836528051489e-03	1.600000000000000e+01	8.944396637978549e-01
collision No.8	1.710512e+01[yr]	i=3, j=370	r_ij=6.322624312359720e-05	radius[3]+radius[370]=6.338481524341289e-05
collision No.9	1.710715e+01[yr]	i=3, j=2094	r_ij=6.338337683744067e-05	radius[3]+radius[2094]=6.338481524341289e-05
3.900000e+07	  3	  3000	  1492	1.696462189819603e-06	1.700000000000001e+01	2.575546130265553e-01
4.000000e+07	  3	  3000	  1719	1.270490754291404e-03	1.700000000000001e+01	6.068486911042329e-01
4.100000e+07	  3	  3000	  1129	2.794933791513620e-04	1.700000000000001e+01	9.720280603532602e-01
4.200000e+07	  3	  3000	    24	1.501381000045677e-03	1.800000000000001e+01	3.535268260783718e-01
collision No.10	1.836283e+01[yr]	i=2, j=250	r_ij=6.327776643747891e-05	radius[2]+radius[250]=6.338481524341289e-05
4.300000e+07	  3	  3000	  1426	1.017865845224696e-07	1.800000000000001e+01	7.367714862069498e-01
4.400000e+07	  3	  3000	  1135	1.969402976276470e-03	1.900000000000001e+01	1.219320479884527e-01
4.500000e+07	  3	  3000	  2627	3.653723062656552e-07	1.900000000000001e+01	5.144032902842505e-01
4.600000e+07	  3	  3000	   701	1.790624072545328e-03	1.900000000000001e+01	9.125435490489645e-01
4.700000e+07	  3	  3000	  1465	1.583860789725918e-03	2.000000000000001e+01	3.049360371194179e-01
4.800000e+07	  3	  3000	  1535	1.323488803809879e-03	2.000000000000001e+01	7.047713237704725e-01
4.900000e+07	  3	  3000	   513	1.816541176185644e-03	2.100000000000001e+01	1.074018134097150e-01
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
5.000000e+07	  3	  3000	  1126	1.860626888790945e-03	2.100000000000001e+01	5.129980098217616e-01
5.100000e+07	  3	  3000	  2175	1.467993144911254e-03	2.100000000000001e+01	9.277547491803277e-01
collision No.11	2.214050e+01[yr]	i=3, j=2693	r_ij=6.337299390836363e-05	radius[3]+radius[2693]=6.338481524341289e-05
5.200000e+07	  3	  3000	  1426	1.202555804181758e-06	2.200000000000001e+01	3.372702098838911e-01
5.300000e+07	  3	  3000	   232	1.639873681070417e-03	2.200000000000001e+01	7.531288908032161e-01
5.400000e+07	  3	  3000	   342	1.682253700967462e-03	2.300000000000001e+01	1.735000400483523e-01
5.500000e+07	  3	  3000	  1670	1.528569097744309e-03	2.300000000000001e+01	6.055478292914043e-01
5.600000e+07	  3	  3000	   605	1.684979643220670e-03	2.400000000000001e+01	3.434688366318806e-02
5.700000e+07	  3	  3000	  2627	1.856660721656497e-06	2.400000000000001e+01	4.707947317021841e-01
collision No.12	2.460726e+01[yr]	i=2, j=2740	r_ij=6.333225109354011e-05	radius[2]+radius[2740]=6.338481524341289e-05
5.800000e+07	  3	  3000	  1426	7.698004422330924e-07	2.400000000000001e+01	9.098877253790402e-01
5.900000e+07	  3	  3000	   977	1.265000448499415e-03	2.500000000000001e+01	3.347712413926473e-01
collision No.13	2.537028e+01[yr]	i=1, j=63	r_ij=6.328357940747696e-05	radius[1]+radius[63]=6.338481524341289e-05
6.000000e+07	  3	  3000	  1426	1.723861401647219e-06	2.500000000000001e+01	7.728187889625125e-01
6.100000e+07	  3	  3000	  1598	1.594799053913104e-03	2.600000000000001e+01	1.867186745124142e-01
6.200000e+07	  3	  3000	  2015	1.341752973766080e-03	2.600000000000001e+01	5.856267975872829e-01
6.300000e+07	  3	  3000	  2767	1.911996574898924e-03	2.600000000000001e+01	9.862154325892458e-01
collision No.14	2.730146e+01[yr]	i=3, j=306	r_ij=6.332998173189942e-05	radius[3]+radius[306]=6.338481524341289e-05
6.400000e+07	  3	  3000	  2589	1.696895143566858e-03	2.700000000000002e+01	4.139978757833121e-01
6.500000e+07	  3	  3000	   436	1.968993929536338e-03	2.700000000000002e+01	8.373813808583428e-01
6.600000e+07	  3	  3000	  2863	1.269061333793508e-03	2.800000000000002e+01	2.685314818779022e-01
6.700000e+07	  3	  3000	  1688	1.273768958373567e-03	2.800000000000002e+01	7.045335365253826e-01
6.800000e+07	  3	  3000	  2977	1.344324070140808e-03	2.900000000000002e+01	7.848575498682554e-02
6.900000e+07	  3	  3000	  2511	1.423320743624290e-03	2.900000000000002e+01	3.220100333821007e-01
7.000000e+07	  3	  3000	  1356	8.137290899787057e-08	2.900000000000002e+01	5.636215437452037e-01
7.100000e+07	  3	  3000	  1911	1.958149180294667e-03	2.900000000000002e+01	8.029884376106611e-01
7.200000e+07	  3	  3000	  2808	1.912113685489000e-03	3.000000000000002e+01	4.426499099438887e-02
7.300000e+07	  3	  3000	  2627	8.347604713624206e-06	3.000000000000002e+01	2.798699597232041e-01
7.400000e+07	  3	  3000	  2489	1.969039407187208e-03	3.000000000000002e+01	5.193849365750089e-01
7.500000e+07	  3	  3000	   215	1.864778985350236e-03	3.000000000000002e+01	7.579604304268395e-01
7.600000e+07	  3	  3000	   733	7.605024681409115e-08	3.000000000000002e+01	9.958714501023174e-01
7.700000e+07	  3	  3000	   733	7.677483024349970e-08	3.100000000000002e+01	2.398047701613698e-01
7.800000e+07	  3	  3000	  1542	1.350729032602932e-03	3.100000000000002e+01	4.833134756854010e-01
collision No.15	3.156805e+01[yr]	i=1, j=2919	r_ij=6.322992314945434e-05	radius[1]+radius[2919]=6.338481524341289e-05
7.900000e+07	  3	  3000	   617	1.588176307089109e-03	3.100000000000002e+01	7.285029179549128e-01
8.000000e+07	  3	  3000	  1356	2.874741862844994e-06	3.100000000000002e+01	9.734671802069856e-01
8.100000e+07	  3	  3000	  1887	1.208994716348282e-03	3.200000000000002e+01	2.228353057968167e-01
8.200000e+07	  3	  3000	   416	1.226260167119606e-03	3.200000000000002e+01	4.718846035699464e-01
8.300000e+07	  3	  3000	  1356	4.355290205209788e-06	3.200000000000002e+01	7.230861734758732e-01
8.400000e+07	  3	  3000	   733	1.789678493756271e-06	3.200000000000002e+01	9.714348584285069e-01
8.500000e+07	  3	  3000	  2874	1.406825337250133e-03	3.300000000000002e+01	2.442374636994639e-01
